date,open,high,low,close,volume
2020-11-25,140.0,140.0,122.0,122.0,49915
2020-11-27,120.0,124.0,110.0,111.0,14120
2020-11-30,112.0,127.5999984741211,110.4000015258789,121.80000305175781,12850
2020-12-01,125.4000015258789,129.60000610351562,116.19999694824219,118.4000015258789,5880
2020-12-02,116.19999694824219,124.0,110.4000015258789,113.0,8125
2020-12-03,111.0,115.19999694824219,109.0,110.4000015258789,5320
2020-12-04,111.16000366210938,114.4000015258789,108.4000015258789,109.19999694824219,5460
2020-12-07,108.0,114.19999694824219,108.0,110.0,3255
2020-12-08,110.0,110.73999786376953,108.0,109.0,1005
2020-12-09,109.0,113.0,103.0,107.80000305175781,2945
2020-12-10,104.5999984741211,105.37999725341797,101.4800033569336,102.4000015258789,1310
2020-12-11,101.80000305175781,104.80000305175781,101.36000061035156,101.4000015258789,1095
2020-12-14,101.5999984741211,105.0,100.0,100.0,915
2020-12-15,100.0,100.4800033569336,92.0,92.30000305175781,3005
2020-12-16,92.80000305175781,126.0,92.5999984741211,114.80000305175781,35790
2020-12-17,116.80000305175781,150.0,109.19999694824219,118.80000305175781,46900
2020-12-18,120.19999694824219,127.19999694824219,107.9000015258789,116.0,20480
2020-12-21,105.0,118.5999984741211,102.0,118.5999984741211,4240
2020-12-22,118.4000015258789,120.0,107.5999984741211,108.0,3495
2020-12-23,108.0,114.80000305175781,105.4000015258789,111.80000305175781,2355
2020-12-24,108.5999984741211,111.0,103.5999984741211,105.19999694824219,1480
2020-12-28,107.63999938964844,116.4000015258789,107.63999938964844,113.80000305175781,3335
2020-12-29,110.0,112.80000305175781,105.5999984741211,109.0,2795
2020-12-30,107.0,120.0,107.0,111.19999694824219,1905
2020-12-31,111.0,127.0,111.0,119.5999984741211,10970
2021-01-04,120.0,122.0,113.19999694824219,117.80000305175781,1505
2021-01-05,120.0,125.0,117.0,120.0,2605
2021-01-06,119.0,134.97999572753906,118.19999694824219,121.80000305175781,8570
2021-01-07,125.19999694824219,130.0,121.19999694824219,123.0,2215
2021-01-08,123.0,123.5999984741211,117.0,117.4000015258789,2990
2021-01-11,115.4000015258789,124.0,107.0,122.0,2735
2021-01-12,122.0,130.0,118.4000015258789,124.0,7545
2021-01-13,128.55999755859375,139.0,126.0999984741211,135.0,4025
2021-01-14,133.1999969482422,134.39999389648438,126.13999938964844,126.5999984741211,4440
2021-01-15,129.8000030517578,139.0,124.55999755859375,134.0,7265
2021-01-19,134.0,135.39999389648438,124.19999694824219,127.19999694824219,5800
2021-01-20,127.4000015258789,130.39999389648438,125.4000015258789,130.39999389648438,490
2021-01-21,130.39999389648438,137.8000030517578,126.19999694824219,127.80000305175781,6500
2021-01-22,127.5999984741211,133.0,114.69999694824219,117.5999984741211,6230
2021-01-25,120.0,126.5999984741211,116.0,118.0,2315
2021-01-26,118.0,122.5,113.5999984741211,115.31999969482422,845
2021-01-27,111.5999984741211,123.4000015258789,105.55999755859375,121.80000305175781,4705
2021-01-28,121.80000305175781,123.0,112.19999694824219,120.5999984741211,705
2021-01-29,118.80000305175781,133.94000244140625,118.80000305175781,126.19999694824219,11560
2021-02-01,126.4000015258789,133.0,122.0,128.0,4780
2021-02-02,130.0,130.0,115.19999694824219,120.0,1275
2021-02-03,118.5999984741211,124.86000061035156,117.0,120.19999694824219,830
2021-02-04,121.08000183105469,129.1999969482422,120.80000305175781,123.0,2780
2021-02-05,129.0,129.0,116.0,121.0,905
2021-02-08,121.0,349.6000061035156,121.0,211.0,112780
2021-02-09,202.8000030517578,266.6000061035156,180.0,200.0,34575
2021-02-10,193.8000030517578,193.8000030517578,160.0,177.1999969482422,10240
2021-02-11,172.1999969482422,330.20001220703125,168.8000030517578,256.0,103760
2021-02-12,234.0,358.0,210.0,351.20001220703125,60810
2021-02-16,427.6000061035156,589.7999877929688,360.20001220703125,550.0,80020
2021-02-17,481.20001220703125,579.7999877929688,462.0,512.0,22665
2021-02-18,490.0,490.0,442.3999938964844,477.6000061035156,11650
2021-02-19,462.6000061035156,518.3800048828125,442.239990234375,477.79998779296875,11510
2021-02-22,462.20001220703125,470.79998779296875,367.79998779296875,385.3999938964844,14745
2021-02-23,360.0,360.0,284.6000061035156,330.79998779296875,12515
2021-02-24,320.0,420.0,290.20001220703125,355.0,18140
2021-02-25,349.0,377.20001220703125,304.0,305.6000061035156,7595
2021-02-26,319.79998779296875,319.79998779296875,273.0,287.0,10205
2021-03-01,310.0,329.17999267578125,288.3999938964844,293.3999938964844,8810
2021-03-02,297.6000061035156,317.2799987792969,270.0,272.3999938964844,6400
2021-03-03,275.0,290.0,234.39999389648438,250.39999389648438,16400
2021-03-04,237.0,244.60000610351562,190.8000030517578,213.0,13660
2021-03-05,295.0,328.79998779296875,200.60000610351562,205.1999969482422,283845
2021-03-08,202.39999389648438,221.39999389648438,192.0,194.1999969482422,30045
2021-03-09,195.39999389648438,248.60000610351562,194.39999389648438,228.0,44890
2021-03-10,245.8000030517578,247.60000610351562,214.1999969482422,226.1999969482422,10530
2021-03-11,226.1999969482422,243.16000366210938,212.0,226.0,14900
2021-03-12,222.0,222.0,199.1999969482422,200.60000610351562,17455
2021-03-15,202.60000610351562,219.0,198.24000549316406,206.1999969482422,16495
2021-03-16,206.8000030517578,212.0,198.39999389648438,200.0,9665
2021-03-17,194.39999389648438,288.8999938964844,194.39999389648438,276.20001220703125,99690
2021-03-18,284.5199890136719,306.20001220703125,222.1999969482422,229.0,93625
