date,open,high,low,close,volume
2022-08-11,468300.0,1386000.0,318500.0,1247400.0,352
2022-08-12,924700.0,1106000.0,504700.0,588000.0,187
2022-08-15,500500.0,560700.0,437500.0,504000.0,55
2022-08-16,609700.0,627200.0,472500.0,485800.0,71
2022-08-17,472500.0,472500.0,399000.0,423500.0,14
2022-08-18,399700.0,417200.0,369600.0,407400.0,13
2022-08-19,382200.0,466200.0,371700.0,398300.0,30
2022-08-22,383600.0,394240.0,354900.0,378000.0,12
2022-08-23,387100.0,410900.0,323400.0,341600.0,24
2022-08-24,341600.0,348600.0,329000.0,341600.0,3
2022-08-25,334600.0,339990.0,296800.0,298900.0,5
2022-08-26,294700.0,310800.0,262780.0,266700.0,5
2022-08-29,261100.0,271600.0,253400.0,254100.0,2
2022-08-30,254100.0,263900.0,217000.0,228900.0,5
2022-08-31,233100.0,256900.0,231000.0,241500.0,5
2022-09-01,238000.0,250600.0,217700.0,224000.0,3
2022-09-02,231000.0,239540.0,214200.0,224000.0,4
2022-09-06,218400.0,221830.0,192500.0,196000.0,2
2022-09-07,196000.0,212800.0,189700.0,198800.0,2
2022-09-08,203000.0,205800.0,193900.0,196000.0,1
2022-09-09,202300.0,219100.0,196700.0,211400.0,7
2022-09-12,211400.0,242900.0,210000.0,218400.0,9
2022-09-13,216300.0,224000.0,200900.0,204400.0,3
2022-09-14,199500.0,220500.0,192500.0,206500.0,5
2022-09-15,201600.0,221200.0,189000.0,189700.0,4
2022-09-16,189000.0,191800.0,175700.0,175700.0,2
2022-09-19,175000.0,186200.0,152600.0,152600.0,2
2022-09-20,154000.0,172200.0,151200.0,151900.0,2
2022-09-21,151900.0,161000.0,143500.0,144200.0,3
2022-09-22,143500.0,153300.0,142100.0,142800.0,1
2022-09-23,142100.0,142100.0,130200.0,133000.0,1
2022-09-26,133000.0,148400.0,126000.0,137200.0,1
2022-09-27,140700.0,148400.0,126700.0,134400.0,1
2022-09-28,133000.0,146300.0,130200.0,137200.0,1
2022-09-29,133700.0,145600.0,131110.0,145600.0,1
2022-09-30,141400.0,161000.0,138880.0,141400.0,3
2022-10-03,139300.0,154000.0,131600.0,142800.0,1
2022-10-04,144200.0,156800.0,142170.0,151200.0,1
2022-10-05,151200.0,172200.0,148680.0,165200.0,1
2022-10-06,165200.0,169400.0,154000.0,156100.0,1
2022-10-07,157500.0,171500.0,151900.0,159600.0,1
2022-10-10,168000.0,170660.0,154000.0,161000.0,1
2022-10-11,141400.0,164500.0,141400.0,156800.0,1
2022-10-12,154000.0,157500.0,144900.0,151900.0,3
2022-10-13,150500.0,158200.0,136500.0,142800.0,2
2022-10-14,142100.0,151900.0,133000.0,141400.0,3
2022-10-17,138600.0,148400.0,137900.0,140000.0,1
2022-10-18,140000.0,143500.0,137200.0,141400.0,0
2022-10-19,140700.0,142100.0,140000.0,140000.0,0
2022-10-20,138600.0,145600.0,128800.0,133000.0,0
2022-10-21,127400.0,133000.0,127400.0,130200.0,1
2022-10-24,133000.0,133000.0,111300.0,115780.0,1
2022-10-25,116200.0,128100.0,116200.0,121800.0,0
2022-10-26,123830.0,126000.0,122500.0,124600.0,0
2022-10-27,125300.0,132300.0,124600.0,132300.0,0
2022-10-28,132300.0,133000.0,122500.0,127400.0,1
2022-10-31,135100.0,140000.0,133700.0,135100.0,0
2022-11-01,136500.0,138600.0,128800.0,132160.0,0
2022-11-02,135800.0,135800.0,122500.0,124600.0,0
2022-11-03,124600.0,124600.0,106400.0,106400.0,1
2022-11-04,108500.0,129500.0,108500.0,129500.0,1
2022-11-07,127400.0,149100.0,127400.0,136500.0,1
2022-11-08,140700.0,148400.0,130900.0,135100.0,1
2022-11-09,135100.0,143500.0,114800.0,121800.0,1
2022-11-10,130200.0,140000.0,123690.0,128100.0,1
2022-11-11,133700.0,139370.0,130900.0,135800.0,1
2022-11-14,135800.0,140000.0,126000.0,134400.0,1
2022-11-15,140000.0,154700.0,134400.0,139300.0,1
2022-11-16,142940.0,143500.0,135100.0,139300.0,1
2022-11-17,141400.0,142100.0,129430.0,140000.0,0
